Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
42,2060000,9000000,29,85000000,50000000,0,1,0,2
41,620000,2000000,11,10000000,5000000,5,1,1,0
59,4610000,10000000,5,70000000,50000000,10,1,0,2
30,1440000,5000000,23,36000000,16000000,10,0,1,0
46,1300000,3400000,23,30000000,12000000,1,1,0,0
31,1440000,4000000,23,35000000,15000000,1,0,0,0
36,470000,3000000,17,8500000,3500000,1,0,1,0
45,5480000,59000000,11,85000000,35000000,10,1,0,2
34,4060000,30000000,23,110000000,45000000,0,0,0,2
26,1620000,4250000,23,47000000,24000000,1,0,1,0
45,990000,2000000,17,20000000,9000000,10,1,0,0
41,6810000,20000000,5,125000000,95000000,10,1,0,2
43,470000,5000000,17,9000000,4000000,5,1,1,0
28,500000,1500000,11,8000000,4000000,1,0,1,0
34,500000,4000000,17,10000000,5000000,10,1,1,0
44,580000,8000000,17,10000000,4000000,0,1,1,0
53,4690000,72000000,23,125000000,50000000,0,1,0,2
20,1240000,3000000,11,17000000,7000000,1,0,1,0
26,1310000,8000000,11,20000000,10000000,5,1,0,0
48,1450000,6000000,17,40000000,25000000,10,1,0,0
42,1250000,4000000,5,9500000,4500000,10,1,1,0
18,370000,2300000,17,7500000,4000000,1,0,1,0
49,2990000,72000000,17,65000000,30000000,0,1,0,2
49,2230000,72000000,17,50000000,25000000,0,1,0,2
55,2740000,10500000,23,81000000,41000000,5,1,0,2
52,2140000,8000000,29,60000000,25000000,5,1,0,2
29,690000,4000000,11,8750000,3500000,8,1,1,0
49,1450000,6000000,17,40000000,25000000,10,1,1,0
37,1070000,2800000,17,20000000,8000000,1,1,1,0
38,430000,3000000,11,5000000,2000000,0,0,1,0
35,660000,5000000,11,8750000,3750000,5,1,1,0
43,3330000,70400000,35,120000000,50000000,0,1,0,2
46,1420000,8000000,29,38000000,16000000,10,1,0,0
36,2820000,20000000,17,55000000,22000000,10,1,0,0
40,500000,2000000,17,9500000,4500000,0,1,1,0
42,1860000,22500000,29,50000000,20000000,10,1,0,0
34,4450000,75200000,23,120000000,50000000,0,1,0,2
34,4450000,75200000,23,120000000,50000000,0,1,0,2
19,1340000,3000000,17,23500000,8500000,1,0,1,0
23,820000,4000000,17,14000000,6000000,1,1,0,0
54,1250000,4500000,17,20000000,6000000,0,1,1,0
51,2590000,25000000,17,50000000,20000000,0,1,0,0
35,410000,2980000,17,7250000,3250000,1,1,1,0
51,2590000,25000000,17,50000000,20000000,0,1,0,0
54,760000,5000000,17,14000000,6000000,4,1,1,0
43,1550000,34000000,29,40000000,16000000,1,1,0,0
34,490000,4000000,17,8000000,3250000,10,1,1,0
38,1960000,11300000,29,78000000,46000000,10,1,0,2
42,610000,4000000,11,7500000,3000000,5,1,1,0
